genes	logFC	logCPM	LR	PValue	FDR
Bra016134	-0.165281624758582	7.60847415117657	0.270000549798752	0.603331403482538	0.738195571369257
Bra032506	-0.126132390126378	5.76287785881474	0.269896898283861	0.603400942165633	0.738253104365424
Bra032608	-0.194902050096778	3.36974415274751	0.269589267053433	0.603607428533605	0.738463307713451
Bra019280	0.482530500281446	3.81574351696692	0.269573828476183	0.603617795062692	0.738463307713451
Bra024063	0.138486800298079	3.03928408887372	0.269507002286531	0.603662671137316	0.738490653280817
Bra034847	0.0712182464234631	5.15069549585567	0.269359584046029	0.603761692515877	0.738584232987018
Bra016930	-0.255414919822161	2.15450878681612	0.269258500710592	0.60382961044707	0.738639758151254
Bra022458	-0.160401168158307	5.41790760464006	0.269193454515857	0.603873323566776	0.738648109508957
Bra008617	-0.412108965254105	0.854615465647013	0.269178427699451	0.603883423020295	0.738648109508957
Bra016686	0.0763885591181737	5.00558979843264	0.269142078017062	0.603907854952608	0.738648109508957
Bra029822	-0.122200231193931	3.13201696151339	0.269114262258761	0.603926552341068	0.738648109508957
Bra006639	0.192641247693491	4.18197832499112	0.269075960741091	0.603952300126656	0.738652046562692
Bra035243	0.831386849563567	3.11024638785289	0.268967633836809	0.604025134321694	0.738713569286634
Bra029373	-0.0834569791154268	6.02865803426857	0.268928215359772	0.604051642171958	0.738718433117941
Bra015099	0.13169119268217	4.35527032973272	0.268884279820099	0.604081190528832	0.738727014802462
Bra031962	0.109036115560385	3.67394191705527	0.268771591971671	0.604156991489946	0.738791565487865
Bra000138	-0.109749677009612	1.71955726442909	0.268734893644982	0.604181681453383	0.738791565487865
Bra040575	-0.127694590592494	5.05041323686205	0.268705326977425	0.604201574922732	0.738791565487865
Bra001851	-0.187572834920895	4.54638758704843	0.268172955053188	0.604560010850778	0.739202277671619
Bra034252	0.0788107213848241	6.02611372527953	0.268063178472318	0.604633977446416	0.739265148364247
Bra101777	-0.340844739690802	-0.441101471410307	0.267944532534159	0.604713941743698	0.73933534727787
Bra021696	0.537897139176165	-0.517792114337836	0.267656078170084	0.604908446205072	0.739545574827568
Bra032724	-0.243495217236734	2.72430841856142	0.267451048792125	0.605046778085807	0.739687114101919
Bra014710	-0.252373325527867	4.03786659061434	0.267324245079564	0.605132365297715	0.739764163348851
Bra012775	-0.201792696731633	3.2259785913483	0.267206112452186	0.605212123038984	0.739834080685998
Bra005361	0.142254587788334	0.783320886006817	0.267146033445009	0.605252694204643	0.739856091450587
Bra035961	-0.0588429926811723	6.04894057058414	0.266851207135808	0.605451873319994	0.740069226348628
Bra021620	0.447554132739533	2.89226152923513	0.266821135273261	0.605472197138366	0.740069226348628
Bra018720	0.145762708633934	2.66938923649793	0.266766363186989	0.605509218125819	0.740086886661369
Bra101870	-0.0897111697744703	6.43151541709464	0.266675719820931	0.605570495439062	0.740134191976461
Bra005611	-0.271069167555249	3.11179492177021	0.266562287531684	0.605647197252874	0.740175115485924
Bra019932	-0.169384848341417	4.66148781923666	0.266549152294914	0.605656080507877	0.740175115485924
Bra029293	0.0912192336894045	7.57564845201679	0.266526050946069	0.605671704436876	0.740175115485924
Bra002381	-0.158290581589942	2.33943254466307	0.266478959433798	0.605703556074936	0.740186451473311
Bra027329	0.158568068639839	5.10010739020529	0.266382839278251	0.60576858064701	0.740238323345142
