logFC	logCPM	LR	PValue	FDR	V1
0.116222047759398	6.43977382663684	0.219486924335662	0.639431134634306	0.999725330862621	Bra016948
-0.371932630248115	0.945203720978218	0.219461293192396	0.639450692803551	0.999725330862621	Bra016828
-0.234788082045389	1.89788242879521	0.219456843233161	0.639454088543326	0.999725330862621	Bra019941
0.131202383745473	0.638319649882695	0.219451413643611	0.639458231890551	0.999725330862621	Bra002883
-0.0650166103825135	6.18377418094117	0.219445697260998	0.639462594158556	0.999725330862621	Bra009849
0.187743434605951	8.22073118892095	0.219423658843681	0.639479412695082	0.999725330862621	Bra006997
0.0744646982337801	4.64635227118864	0.219385165778707	0.639508791005657	0.999725330862621	Bra035858
0.164859080561695	3.8390883255085	0.219363938198107	0.639524993462091	0.999725330862621	Bra038795
-0.192211036425726	6.86447141142682	0.219363727889188	0.639525153990164	0.999725330862621	Bra026019
0.326332156078216	3.55523990754605	0.219280143819276	0.639588960853204	0.999725330862621	Bra016952
0.133573669858315	3.29578444977165	0.219205517303152	0.639645942180214	0.999725330862621	Bra004949
-0.0914626991323343	4.91752096448021	0.219171159941311	0.639672179834753	0.999725330862621	Bra024164
-0.228180580118033	0.980228103965604	0.219152831128341	0.639686178007859	0.999725330862621	Bra020899_Bra020900
0.146910674760917	1.23735810826874	0.219142633405127	0.639693966573244	0.999725330862621	Bra030618
-0.316349060349871	1.05514436257021	0.219139012534256	0.639696732085793	0.999725330862621	Bra100522
-0.108135068873474	5.67417797750508	0.219126609724448	0.639706205190978	0.999725330862621	Bra005026
-0.13737262789599	3.77689894984675	0.21911133921499	0.639717869056885	0.999725330862621	Bra037671
-0.0926810851419104	6.00151381588385	0.219030727705139	0.639779449665173	0.999725330862621	Bra014871
-0.248718563307065	0.530789100115851	0.218986411179188	0.639813309755602	0.999725330862621	Bra017642
-0.199554750617508	0.428414180111372	0.218938939825961	0.639849584928588	0.999725330862621	Bra011984
-0.325298574061564	0.310346213867802	0.218938592860333	0.639849850079568	0.999725330862621	Bra038869
0.0754863615525742	7.13788647537711	0.218892830942217	0.639884823561866	0.999725330862621	Bra038685
-0.698922533725277	0.428867179375853	0.218885671465419	0.639890295585155	0.999725330862621	Bra013413
-0.0741482076267539	5.47437360294221	0.218866641099289	0.639904841117809	0.999725330862621	Bra020638
-0.137749181777774	3.76778723865575	0.218858820374088	0.639910818977911	0.999725330862621	Bra007712
-0.114879983983046	1.33353456258777	0.218824626884949	0.639936956688523	0.999725330862621	Bra032305
0.135789260116453	3.68106664284612	0.218786848168641	0.639965837862853	0.999725330862621	Bra023786
-0.089611903708656	2.64786934166623	0.218770045861323	0.639978683912199	0.999725330862621	Bra039277
-0.360975217379073	2.18517521300929	0.218756637365026	0.639988935685923	0.999725330862621	Bra001615
-0.149253378825264	3.36978221212596	0.21874634864934	0.639996802419389	0.999725330862621	Bra039408
-0.0657000796610932	5.87222616198309	0.21870450455474	0.640028798662108	0.999725330862621	Bra015951
0.125282634488819	1.70331496112168	0.218629666216685	0.640086033379106	0.999725330862621	Bra005657
-0.307851436045778	4.04278570227961	0.218530637579519	0.640161786657517	0.999725330862621	Bra040608
-0.309113475572745	-0.0741941156245921	0.218519996851313	0.640169927668989	0.999725330862621	Bra016371
-0.140262741089479	6.38520883036147	0.218508027465049	0.640179085499208	0.999725330862621	Bra009499
-0.209473654718021	3.97460834512389	0.218505527698994	0.640180998119822	0.999725330862621	Bra002298_Bra002299_Bra002300
-0.339130044422677	-0.270938427335717	0.218488772145847	0.640193818470188	0.999725330862621	Bra034971
-0.0932252321255574	2.95094997376729	0.218439806821745	0.640231287250319	0.999725330862621	Bra011788
-0.184556196352366	1.35619081594976	0.218438417975825	0.640232350084422	0.999725330862621	Bra014450
-0.167044995166695	2.29034666693024	0.218434576115918	0.640235290143829	0.999725330862621	Bra041144
0.117432424045399	4.72371437593647	0.21842199123715	0.64024492119225	0.999725330862621	Bra011638
0.081489998599892	3.09410891971286	0.218400270105018	0.640261544895033	0.999725330862621	Bra014014
-0.63798065564401	-0.63556063121297	0.21839986911527	0.640261851791562	0.999725330862621	Bra016294
0.242237907747817	0.717347691607787	0.218379544051267	0.640277407979566	0.999725330862621	Bra029956
-0.130347299837643	2.14711121567925	0.218326492792215	0.640318015961453	0.999725330862621	Bra023016
-0.253494941820447	0.44053816034908	0.218241252050255	0.640383275909546	0.999725330862621	Bra006862
